,customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address,postcode,state,country,property_valuation
0,1,Laraine,Medendorp,F,1953-10-12 00:00:00,Executive Secretary,Health,Mass Customer,N,Yes,060 Morning Avenue,2016,New South Wales,Australia,10
1,2,Eli,Bockman,Male,1980-12-16 00:00:00,Administrative Officer,Financial Services,Mass Customer,N,Yes,6 Meadow Vale Court,2153,New South Wales,Australia,10
2,3,Arlin,Dearle,Male,1954-01-20 00:00:00,Recruiting Manager,Property,Mass Customer,N,Yes,0 Holy Cross Court,4211,QLD,Australia,9
3,4,Talbot,,Male,1961-10-03 00:00:00,,IT,Mass Customer,N,No,17979 Del Mar Point,2448,New South Wales,Australia,4
4,5,Sheila-kathryn,Calton,Female,1977-05-13 00:00:00,Senior Editor,,Affluent Customer,N,Yes,9 Oakridge Court,3216,VIC,Australia,9
5,6,Curr,Duckhouse,Male,1966-09-16 00:00:00,,Retail,High Net Worth,N,Yes,4 Delaware Trail,2210,New South Wales,Australia,9
6,7,Fina,Merali,Female,1976-02-23 00:00:00,,Financial Services,Affluent Customer,N,Yes,49 Londonderry Lane,2650,New South Wales,Australia,4
7,8,Rod,Inder,Male,1962-03-30 00:00:00,Media Manager I,,Mass Customer,N,No,97736 7th Trail,2023,New South Wales,Australia,12
8,9,Mala,Lind,Female,1973-03-10 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,93405 Ludington Park,3044,VIC,Australia,8
9,10,Fiorenze,Birdall,Female,1988-10-11 00:00:00,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,44339 Golden Leaf Alley,4557,QLD,Australia,4
10,11,Uriah,Bisatt,Male,1954-04-30 00:00:00,,Property,Mass Customer,N,No,2 Sutherland Street,3799,VIC,Australia,6
11,12,Sawyere,Flattman,Male,1994-07-21 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,9 Mcbride Trail,2760,New South Wales,Australia,8
12,13,Gabriele,Norcross,Male,1955-02-15 00:00:00,Developer I,Financial Services,High Net Worth,N,Yes,9861 New Castle Avenue,2428,New South Wales,Australia,9
13,14,Rayshell,Kitteman,Female,1983-03-25 00:00:00,Account Executive,Financial Services,Affluent Customer,N,No,52 Moland Street,3331,VIC,Australia,4
14,15,Erroll,Radage,Male,2000-07-13 00:00:00,Junior Executive,Manufacturing,Mass Customer,N,No,82391 Kensington Lane,3058,VIC,Australia,9
15,16,Harlin,Parr,Male,1977-02-27 00:00:00,Media Manager IV,,Mass Customer,N,Yes,092 2nd Alley,2135,New South Wales,Australia,12
16,17,Heath,Faraday,Male,1962-03-19 00:00:00,Sales Associate,,Affluent Customer,N,Yes,59 Spaight Circle,2233,New South Wales,Australia,9
17,18,Marjie,Neasham,Female,1967-07-06 00:00:00,Professor,,Affluent Customer,N,No,032 Bartelt Crossing,2444,New South Wales,Australia,8
18,19,Sorcha,Keyson,Female,2001-04-15 00:00:00,Geological Engineer,Manufacturing,High Net Worth,N,No,18 Jenna Center,2650,New South Wales,Australia,7
